Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,
15026,Fine Particulate Matter,2013-01-01,9,7,5,4,3,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,8,10,7,
15026,Fine Particulate Matter,2013-01-02,5,6,7,7,6,5,8,8,7,7,6,7,10,9,8,7,8,12,24,20,14,11,13,24,
15026,Fine Particulate Matter,2013-01-03,22,14,12,9,7,7,12,15,13,9,9,14,21,21,23,27,35,37,41,43,43,42,31,23,
15026,Fine Particulate Matter,2013-01-04,17,16,14,13,15,18,16,15,12,11,11,11,11,11,11,11,11,11,11,11,12,14,16,18,
15026,Fine Particulate Matter,2013-01-05,20,22,25,26,27,27,27,28,29,29,30,28,24,22,20,20,19,22,22,20,15,13,14,18,
15026,Fine Particulate Matter,2013-01-06,24,26,21,18,17,17,16,15,15,18,21,19,19,20,20,20,19,18,20,18,20,10,6,5,
15026,Fine Particulate Matter,2013-01-07,3,4,5,4,4,4,7,6,8,11,11,12,11,11,10,9,13,14,13,14,17,23,25,25,
15026,Fine Particulate Matter,2013-01-08,22,21,21,22,23,24,25,26,26,25,25,25,26,26,26,26,27,29,29,30,30,28,27,26,
15026,Fine Particulate Matter,2013-01-09,28,30,24,16,12,11,10,9,10,12,14,14,13,13,13,10,7,5,3,3,4,4,4,4,
15026,Fine Particulate Matter,2013-01-10,4,6,7,5,5,6,7,8,8,8,9,9,5,4,5,8,6,5,6,5,4,8,8,7,
15026,Fine Particulate Matter,2013-01-11,6,5,5,5,6,7,7,6,7,8,7,8,8,8,10,11,12,14,17,20,14,13,13,13,
15026,Fine Particulate Matter,2013-01-12,14,13,13,16,18,14,10,9,8,9,9,11,9,7,7,10,12,14,15,16,17,18,12,13,
15026,Fine Particulate Matter,2013-01-13,13,18,19,19,8,6,7,5,8,9,12,11,9,7,7,6,5,4,5,5,4,3,3,2,
15026,Fine Particulate Matter,2013-01-14,3,5,7,11,9,8,8,8,7,6,6,5,7,7,6,5,9,11,10,8,8,8,14,13,
15026,Fine Particulate Matter,2013-01-15,14,11,9,10,11,17,14,11,11,11,10,7,5,5,8,9,7,6,6,7,12,9,8,8,
15026,Fine Particulate Matter,2013-01-16,9,10,11,12,13,16,22,20,21,19,13,10,8,9,7,6,6,8,9,16,16,15,12,10,
15026,Fine Particulate Matter,2013-01-17,12,18,16,13,8,4,3,3,3,4,11,7,4,3,5,4,4,4,4,3,3,3,2,2,
15026,Fine Particulate Matter,2013-01-18,2,5,5,3,3,2,2,6,7,5,3,3,9999,9999,9999,9999,9999,12,13,12,13,11,10,8,
15026,Fine Particulate Matter,2013-01-19,9,10,10,11,11,11,11,10,10,7,6,4,3,4,4,3,3,4,5,5,6,8,7,6,
15026,Fine Particulate Matter,2013-01-20,6,7,8,6,8,8,6,4,4,4,6,4,3,2,5,5,4,3,2,2,2,2,2,4,
15026,Fine Particulate Matter,2013-01-21,6,5,4,3,7,7,6,5,4,4,9,7,4,3,3,5,9,9,7,6,5,5,8,7,
